iter	Passed	Remaining
0	57	74027
1	108	69313
2	163	69610
3	216	69350
4	270	69254
5	324	69040
6	375	68474
7	427	68156
8	482	68326
9	537	68413
10	591	68422
11	646	68458
12	694	67861
13	748	67843
14	802	67796
15	855	67738
16	909	67752
17	961	67599
18	1015	67556
19	1069	67552
20	1124	67580
21	1177	67516
22	1233	67557
23	1284	67392
24	1335	67190
25	1365	66010
26	1416	65905
27	1471	65955
28	1523	65858
29	1575	65812
30	1628	65774
31	1682	65780
32	1734	65686
33	1786	65627
34	1839	65595
35	1892	65554
36	1944	65472
37	1999	65516
38	2006	63992
39	2010	62472
40	2062	62492
41	2079	61456
42	2135	61570
43	2187	61591
44	2239	61609
45	2292	61642
46	2345	61689
47	2399	61743
48	2451	61748
49	2507	61825
50	2559	61833
51	2576	60994
52	2631	61070
53	2683	61082
54	2685	59950
55	2737	59981
56	2789	60005
57	2842	60037
58	2900	60177
59	2958	60303
60	2964	59392
61	3019	59458
62	3072	59496
63	3127	59568
64	3137	58785
65	3190	58825
66	3245	58903
67	3299	58951
68	3351	58962
69	3406	59027
70	3460	59074
71	3513	59100
72	3567	59131
73	3621	59173
74	3676	59223
75	3730	59253
76	3786	59298
77	3841	59339
78	3896	59379
79	3950	59400
80	4008	59481
81	4062	59503
82	4118	59538
83	4174	59583
84	4229	59608
85	4282	59601
86	4337	59624
87	4388	59594
88	4444	59628
89	4501	59665
90	4556	59684
91	4611	59704
92	4664	59689
93	4717	59673
94	4747	59371
95	4804	59403
96	4860	59431
97	4915	59435
98	4971	59457
99	5028	59485
100	5084	59502
101	5138	59494
102	5191	59478
103	5247	59493
104	5303	59504
105	5358	59495
106	5411	59476
107	5466	59470
108	5520	59457
109	5574	59447
110	5633	59481
111	5686	59454
112	5740	59437
113	5793	59410
114	5850	59419
115	5905	59411
116	5958	59385
117	6014	59378
118	6043	59118
119	6099	59116
120	6155	59112
121	6209	59087
122	6265	59088
123	6320	59078
124	6372	59035
125	6426	59007
126	6479	58975
127	6532	58947
128	6587	58932
129	6641	58905
130	6694	58868
131	6749	58851
132	6801	58812
133	6856	58789
134	6911	58769
135	6964	58733
136	7019	58716
137	7072	58682
138	7127	58661
139	7182	58641
140	7236	58606
141	7289	58573
142	7343	58540
143	7396	58504
144	7413	58180
145	7467	58155
146	7521	58125
147	7575	58095
148	7632	58085
149	7688	58070
150	7717	57857
151	7771	57823
152	7824	57791
153	7881	57780
154	7937	57765
155	7992	57740
156	8046	57708
157	8102	57694
158	8158	57676
159	8213	57651
160	8266	57609
161	8320	57573
162	8373	57538
163	8430	57524
164	8485	57493
165	8540	57469
166	8596	57450
167	8649	57407
168	8702	57364
169	8757	57334
170	8812	57309
171	8867	57275
172	8924	57260
173	8976	57213
174	9031	57179
175	9085	57143
176	9139	57111
177	9194	57079
178	9251	57059
179	9306	57025
180	9361	56998
181	9417	56971
182	9470	56924
183	9523	56883
184	9578	56848
185	9634	56823
186	9689	56789
187	9743	56750
188	9796	56707
189	9850	56668
190	9904	56627
191	9960	56596
192	10014	56559
193	10070	56530
194	10126	56501
195	10180	56462
196	10237	56436
197	10292	56401
198	10345	56356
199	10400	56320
200	10456	56289
201	10511	56250
202	10562	56197
203	10616	56154
